,/data/provider/renet/2017-12-31/02/3965_2017-12-31_04-53-30_5a47d29a71158.xml
17244925,/data/provider/renet/2017-12-01/14/10011482_2017-12-01_16-56-09_5a20eef94188b.xml
17306075,/data/provider/renet/2017-12-18/14/627_2017-12-18_16-53-10_5a3757c6499bd.xml
19397305,/data/provider/renet/2017-12-05/14/71-334_2017-12-05_16-55-45_5a2634e1d8027.xml
19399565,/data/provider/renet/2017-12-05/14/71-334_2017-12-05_16-55-45_5a2634e1d8027.xml
12561183,/data/provider/renet/2017-12-15/14/627_2017-12-15_16-53-07_5a3363432bc18.xml
19318025,/data/provider/renet/2017-12-23/02/10006842_2017-12-23_04-53-21_5a3d469152b3c.xml
19140155,/data/provider/renet/2017-12-28/14/627_2017-12-28_16-53-03_5a4486bf8b2e3.xml
19397315,/data/provider/renet/2017-12-04/18/71-334xxx_2017-12-04_20-55-30_5a251b92c9038.xml
19399575,/data/provider/renet/2017-12-05/14/71-334_2017-12-05_16-55-45_5a2634e1d8027.xml
19345505,/data/provider/renet/2017-12-24/06/7297_2017-12-24_08-53-23_5a3ed05379bd5.xml
16427866,/data/provider/renet/2017-12-19/10/2085_2017-12-19_12-53-21_5a387111ce4ab.xml
19397325,/data/provider/renet/2017-12-04/18/71-334xxx_2017-12-04_20-55-30_5a251b92c9038.xml
19399585,/data/provider/renet/2017-12-05/14/71-334_2017-12-05_16-55-45_5a2634e1d8027.xml
12397843,/data/provider/renet/2017-12-29/10/2085_2017-12-29_12-53-42_5a45a026a8caa.xml
19397335,/data/provider/renet/2017-12-04/18/71-334xxx_2017-12-04_20-55-30_5a251b92c9038.xml
16970465,/data/provider/renet/2017-12-03/18/1026_2017-12-03_20-53-51_5a23c9af93e76.xml
19399595,/data/provider/renet/2017-12-05/14/71-334_2017-12-05_16-55-45_5a2634e1d8027.xml
17016545,/data/provider/renet/2017-12-04/14/1026_2017-12-04_16-54-48_5a24e32814113.xml
19398485,/data/provider/renet/2017-12-05/14/71-334_2017-12-05_16-55-45_5a2634e1d8027.xml
9300883,/data/provider/renet/2017-12-06/14/10014772_2017-12-06_16-56-02_5a278672d1f41.xml
19402275,/data/provider/renet/2017-12-04/18/71-334xxx_2017-12-04_20-55-30_5a251b92c9038.xml
19252015,/data/provider/renet/2017-12-22/14/10059385_2017-12-22_16-56-31_5a3c9e8f59e1b.xml
19473105,/data/provider/renet/2017-12-28/06/71-322_2017-12-28_08-54-06_5a44167ed5ff6.xml
19420095,/data/provider/renet/2017-12-18/10/6741_2017-12-18_12-54-40_5a371fe086fef.xml
19381225,/data/provider/renet/2017-12-28/10/10011322_2017-12-28_12-54-38_5a444ede3e166.xml
19139775,/data/provider/renet/2017-12-19/14/10016543_2017-12-19_16-55-41_5a38a9ddee1b6.xml
19008175,/data/provider/renet/2017-12-15/14/1026_2017-12-15_16-54-17_5a336389d88b9.xml
19398495,/data/provider/renet/2017-12-05/14/71-334_2017-12-05_16-55-45_5a2634e1d8027.xml
19402285,/data/provider/renet/2017-12-04/18/71-334xxx_2017-12-04_20-55-30_5a251b92c9038.xml
19402255,/data/provider/renet/2017-12-04/18/71-334xxx_2017-12-04_20-55-30_5a251b92c9038.xml
464412,/data/provider/renet/2017-12-20/10/2085_2017-12-20_12-53-50_5a39c2ae93214.xml
18576675,/data/provider/renet/2017-12-28/14/2085_2017-12-28_16-53-06_5a4486c253c85.xml
17652235,/data/provider/renet/2017-12-24/02/2085_2017-12-24_04-53-05_5a3e9801e15a3.xml
15630135,/data/provider/renet/2017-12-28/14/1026_2017-12-28_16-53-58_5a4486f6cb5a9.xml
19402265,/data/provider/renet/2017-12-04/18/71-334xxx_2017-12-04_20-55-30_5a251b92c9038.xml
19414315,/data/provider/renet/2017-12-06/14/1026_2017-12-06_16-54-30_5a27861622491.xml
15919865,/data/provider/renet/2017-12-13/14/1026_2017-12-13_16-54-32_5a30c09847bee.xml
19133125,/data/provider/renet/2017-12-20/10/615-185_2017-12-20_12-56-10_5a39c33a9ed5a.xml
14149755,/data/provider/renet/2017-12-01/10/1072_2017-12-01_12-54-15_5a20b6477991d.xml
17783695,/data/provider/renet/2017-12-15/10/1026_2017-12-15_12-54-28_5a332b540a71d.xml
19398445,/data/provider/renet/2017-12-05/14/71-334_2017-12-05_16-55-45_5a2634e1d8027.xml
14188015,/data/provider/renet/2017-12-19/14/2085_2017-12-19_16-53-22_5a38a95229b76.xml
19402235,/data/provider/renet/2017-12-05/14/71-334_2017-12-05_16-55-45_5a2634e1d8027.xml
17561085,/data/provider/renet/2017-12-21/10/2085_2017-12-21_12-53-10_5a3b14065913b.xml
19082345,/data/provider/renet/2017-12-30/10/627_2017-12-30_12-53-04_5a46f1808f873.xml
19402245,/data/provider/renet/2017-12-04/18/71-334xxx_2017-12-04_20-55-30_5a251b92c9038.xml
19398455,/data/provider/renet/2017-12-05/14/71-334_2017-12-05_16-55-45_5a2634e1d8027.xml
19417585,/data/provider/renet/2017-12-23/14/71-291_2017-12-23_16-55-24_5a3defccb0e18.xml
16955275,/data/provider/renet/2017-12-21/10/627_2017-12-21_12-53-06_5a3b140228ccf.xml
18578635,/data/provider/renet/2017-12-26/18/2085_2017-12-26_20-53-07_5a421c03a9ab5.xml
19398465,/data/provider/renet/2017-12-05/14/71-334_2017-12-05_16-55-45_5a2634e1d8027.xml
19402215,/data/provider/renet/2017-12-04/18/71-334xxx_2017-12-04_20-55-30_5a251b92c9038.xml
18996535,/data/provider/renet/2017-12-29/14/10015302_2017-12-29_16-54-41_5a45d8a1d4d45.xml
19211575,/data/provider/renet/2017-12-22/10/6860_2017-12-22_12-54-41_5a3c65e17c150.xml
19237245,/data/provider/renet/2017-12-15/10/1026_2017-12-15_12-54-28_5a332b540a71d.xml
19398475,/data/provider/renet/2017-12-05/14/71-334_2017-12-05_16-55-45_5a2634e1d8027.xml
19402225,/data/provider/renet/2017-12-04/18/71-334xxx_2017-12-04_20-55-30_5a251b92c9038.xml
18624665,/data/provider/renet/2017-12-12/18/1026_2017-12-12_20-54-12_5a2fa7446efb2.xml
19400685,/data/provider/renet/2017-12-05/14/71-334_2017-12-05_16-55-45_5a2634e1d8027.xml
17372945,/data/provider/renet/2017-12-29/10/2085_2017-12-29_12-53-25_5a45a0152d6b5.xml
16185135,/data/provider/renet/2017-12-30/22/2085_2017-12-31_00-53-33_5a479a5da529b.xml
19400845,/data/provider/renet/2017-12-05/14/71-334_2017-12-05_16-55-45_5a2634e1d8027.xml
19399805,/data/provider/renet/2017-12-04/18/71-334xxx_2017-12-04_20-55-30_5a251b92c9038.xml
19386635,/data/provider/renet/2017-12-06/18/627_2017-12-06_20-53-03_5a27bdffe8f41.xml
19400835,/data/provider/renet/2017-12-05/14/71-334_2017-12-05_16-55-45_5a2634e1d8027.xml
17927885,/data/provider/renet/2017-12-20/06/2085_2017-12-20_08-53-06_5a398a4242653.xml
